time; right; left
4218713.8600001335;0;0
5225550.931000233;0;0
6218752.470000267;0;0
7226440.993999958;147;-147
8217686.81400013;2;-2
9224856.822000027;-4;4
10217502.187000275;2;-2
11226474.828000069;-2;2
12218859.901000023;2;-2
13226271.859000206;-2;2
14218550.27699995;2;-2
15225646.707000256;-2;2
time; right; left
12663332.380001068;0;0
13672033.60100174;0;0
14664895.503002167;-1354;-1354
15672604.48400116;-902;-902
16663408.850002289;-451;-451
17672253.083000183;-173;-173
18664969.333000183;-86;-86
19671369.018001556;-34;-34
20664447.340000153;-17;-17
21672947.511997223;0;0
22664848.893997192;0;0
23672143.254001617;0;0
24664249.325000763;0;0
