Time; Serial.print output 
946663220.6410027;SYS: :!pose_x=(cm)0 pose_y=(cm)0 pose_theta=(degree)0;
946663220.6410027;SYS: :!set left=0 right=0;
947672202.2910004;SYS: :!pose_x=(cm)0 pose_y=(cm)0 pose_theta=(degree)0;
947672202.2910004;SYS: :!set left=0 right=0;
948664310.125;SYS: :!pose_x=(cm)0 pose_y=(cm)0 pose_theta=(degree)0;
948664310.125;SYS: :!set left=0 right=0;
949576227.6110001;SYS: :!start_x=(cm)0 start_y=(cm)0:!goal_x=(cm)-100goal_y=(cm)100;
949672602.3759995;SYS: :!pose_x=(cm)-2 pose_y=(cm)0 pose_theta=(degree)0;
949672602.3759995;SYS: :!set left=-1701 right=-1701;
950663124.8030014;SYS: :!pose_x=(cm)-28 pose_y=(cm)0 pose_theta=(degree)0;
950663124.8030014;SYS: :!set left=-1250 right=-1250;
951672310.6809998;SYS: :!pose_x=(cm)-55 pose_y=(cm)0 pose_theta=(degree)0;
951672310.6809998;SYS: :!set left=-781 right=-781;
952662851.5419998;SYS: :!pose_x=(cm)-80 pose_y=(cm)0 pose_theta=(degree)0;
952662851.5419998;SYS: :!set left=-347 right=-347;
953671339.4589996;SYS: :!pose_x=(cm)-92 pose_y=(cm)0 pose_theta=(degree)0;
953671339.4589996;SYS: :!set left=-138 right=-138;
954664556.8800011;SYS: :!pose_x=(cm)-96 pose_y=(cm)0 pose_theta=(degree)0;
954664556.8800011;SYS: :!set left=-69 right=-69;
955673775.9090004;SYS: :!pose_x=(cm)-99 pose_y=(cm)0 pose_theta=(degree)0;
955673775.9090004;SYS: :!set left=-17 right=-17;
956663926.5880013;SYS: :!pose_x=(cm)-99 pose_y=(cm)0 pose_theta=(degree)0;
956663926.5880013;SYS: :!set left=-17 right=-17;
957672785.6520004;SYS: :!pose_x=(cm)-100 pose_y=(cm)0 pose_theta=(degree)0;
957672785.6520004;SYS: :!set left=0 right=0;
958664391.9700012;SYS: :!pose_x=(cm)-100 pose_y=(cm)0 pose_theta=(degree)0;
958664391.9700012;SYS: :!set left=0 right=0;
959671210.0000038;SYS: :!pose_x=(cm)-100 pose_y=(cm)0 pose_theta=(degree)0;
959671210.0000038;SYS: :!set left=0 right=0;
960664498.7859993;SYS: :!pose_x=(cm)-100 pose_y=(cm)0 pose_theta=(degree)0;
960664498.7859993;SYS: :!set left=0 right=0;
961672792.5229988;SYS: :!pose_x=(cm)-100 pose_y=(cm)0 pose_theta=(degree)0;
961672792.5229988;SYS: :!set left=0 right=0;
